Período: 20261;Emitido em: 11/02/2026 23:50 h; Data da última atualização: 11/02/2026 19:50h;
Critérios da busca: 
Não foi especificado nenhum critério de busca
Disciplina;Nome da disciplina;Professor;Créd;Turma;Destino;Vag;Turno;Horário/Sala;Horas a Distância;SHF;Horas de extensão;Pré-Req;Depto;
ADM1326; ANÁLISE FINANCEIRA DE NEGÓCIOS ;ANDRE CABUS KLOTZLE;4;2GC;QQC;21;I;SEG 19-21   QUA 19-21   ;0;0;0; SIM ;ADM;
ADM1345; CONTAB GERENCIAL E DE CUSTOS ;GRAZIELA XAVIER FORTUNATO;4;2GA;QQC;11;I;TER 09-11   QUI 09-11   ;0;0;0; SIM ;ADM;
ADM1345; CONTAB GERENCIAL E DE CUSTOS ;LIANA RIBEIRO DOS SANTOS;4;2GB;QQC;17;I;TER 19-21   QUI 19-21   ;0;0;0; SIM ;ADM;
ADM1346; AN DEMONSTRATIVOS FINANCEIROS ;HORISTA A CONTRATAR;2;2GA;QQC;4;I;SEG 07-09   ;0;0;0; SIM ;ADM;
ADM1346; AN DEMONSTRATIVOS FINANCEIROS ;LIANA RIBEIRO DOS SANTOS;2;2GB;QQC;0;I;QUI 17-19   ;0;0;0; SIM ;ADM;
ADM1347; MATEMATICA FINANCEIRA ;GRAZIELA XAVIER FORTUNATO;4;2GA;QQC;2;I;TER 11-13   QUI 11-13   ;0;0;0;NÃO;ADM;
ADM1347; MATEMATICA FINANCEIRA ;HORISTA A CONTRATAR;4;2GB;QQC;3;I;TER 19-21   QUI 19-21   ;0;0;0;NÃO;ADM;
ADM1348; ADMINISTRACAO FINANCEIRA ;ROBERTO GIL UCHOA BORGONGINO DE CARVALHO;4;2GA;QQC;12;I;TER 09-11   QUI 09-11   ;0;0;0; SIM ;ADM;
ADM1348; ADMINISTRACAO FINANCEIRA ;ANDRE CABUS KLOTZLE;4;2GB;QQC;3;I;TER 21-23   QUI 21-23   ;0;0;0; SIM ;ADM;
ADM1370; FINANCAS PARA NOVOS NEGOCIOS ;GRAZIELA XAVIER FORTUNATO;2;2GA;QQC;9;I;GAVEA;0;2;0; SIM ;ADM;
ADM1370; FINANCAS PARA NOVOS NEGOCIOS ;GRAZIELA XAVIER FORTUNATO;2;2GB;QQC;9;I;GAVEA;0;2;0; SIM ;ADM;
ADM1370; FINANCAS PARA NOVOS NEGOCIOS ;GRAZIELA XAVIER FORTUNATO;2;2GC;QQC;9;I;GAVEA;0;2;0; SIM ;ADM;
ADM1412; TRADE MARKETING E VENDAS ;MARCO AURELIO DE SA RIBEIRO;4;2GA;CCI;1;I;SEG 07-09   QUA 07-09   ;0;0;0; SIM ;ADM;
ADM1412; TRADE MARKETING E VENDAS ;MARCO AURELIO DE SA RIBEIRO;4;2GA;QQC;3;I;SEG 07-09   QUA 07-09   ;0;0;0; SIM ;ADM;
ADM1414; COMUNICACAO INTEGRADA DE MKT ;ANDRE LACOMBE PENNA DA ROCHA;4;2GA;QQC;7;I;TER 17-19   QUI 17-19   ;0;0;0; SIM ;ADM;
ADM1415; MARKETING DIGITAL ;JORGE BRANTES FERREIRA;4;2GA;QQC;0;I;QUA 17-19   ;0;2;0; SIM ;ADM;
ADM1440; PRATICA PESQUISA QUANTITATIVA ;DANIEL KAMLOT;2;2GA;QQC;14;I;GAVEA;0;2;0; SIM ;ADM;
ADM1440; PRATICA PESQUISA QUANTITATIVA ;DANIEL KAMLOT;2;2GB;QQC;19;I;GAVEA;0;2;0; SIM ;ADM;
ADM1440; PRATICA PESQUISA QUANTITATIVA ;DANIEL KAMLOT;2;2GC;QQC;7;I;GAVEA;0;2;0; SIM ;ADM;
ADM1445; COMPORTAMENTO DO CONSUMIDOR ;BARBARA PAGLIARI LEVY;4;2GA;QQC;14;I;SEG 09-11   QUA 09-11   ;0;0;0; SIM ;ADM;
ADM1445; COMPORTAMENTO DO CONSUMIDOR ;BARBARA PAGLIARI LEVY;4;2GB;QQC;5;I;TER 09-11   QUI 09-11   ;0;0;0; SIM ;ADM;
ADM1445; COMPORTAMENTO DO CONSUMIDOR ;DANIEL KAMLOT;4;2GC;QQC;18;I;SEG 21-23   QUA 21-23   ;0;0;0; SIM ;ADM;
ADM1446; MARKETING DE SERVICOS ;ANDRE LACOMBE PENNA DA ROCHA;4;2GA;CCI;1;I;SEG 09-11   QUA 09-11   ;0;0;0; SIM ;ADM;
ADM1446; MARKETING DE SERVICOS ;ANDRE LACOMBE PENNA DA ROCHA;4;2GA;QQC;6;I;SEG 09-11   QUA 09-11   ;0;0;0; SIM ;ADM;
ADM1446; MARKETING DE SERVICOS ;ANDRE LUIZ ROIZMAN;4;2GC;QQC;7;I;TER 21-23   QUI 21-23   ;0;0;0; SIM ;ADM;
ADM1447; PRATICA PESQUISA QUALITATIVA ;DANIEL KAMLOT;2;2GA;QQC;14;I;GAVEA;0;2;0; SIM ;ADM;
ADM1447; PRATICA PESQUISA QUALITATIVA ;DANIEL KAMLOT;2;2GB;QQC;19;I;GAVEA;0;2;0; SIM ;ADM;
ADM1447; PRATICA PESQUISA QUALITATIVA ;DANIEL KAMLOT;2;2GC;QQC;7;I;GAVEA;0;2;0; SIM ;ADM;
ADM1457; GESTAO DE MARKETING I ;MARCUS WILCOX HEMAIS;4;2GA;QQC;11;I;SEG 11-13   QUA 11-13   ;0;0;0; SIM ;ADM;
ADM1457; GESTAO DE MARKETING I ;MARCO AURELIO DE SA RIBEIRO;4;2GB;QQC;6;I;SEG 09-11   QUA 09-11   ;0;0;0; SIM ;ADM;
ADM1457; GESTAO DE MARKETING I ;HORISTA A CONTRATAR;4;2GC;QQC;21;I;SEG 21-23   QUA 21-23   ;0;0;0; SIM ;ADM;
